pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist,sy_vmag,sy_gaiamag
AU Mic b,AU Mic,Transit,2020,8.46308,0.0649,3.95677019,87.351625,0.00577,21.2,600.0,3678.0,0.744,0.51,0.23,9.7221,8.81,7.84038
AU Mic c,AU Mic,Transit,2021,18.85969,0.1108,2.52202066,87.351625,0.00338,7.3,459.0,3678.0,0.744,0.51,0.23,9.7221,8.81,7.84038
BD+20 594 b,BD+20 594,Transit,2016,41.6855,0.0688,2.57807,22.2481,0.0,80.45,939.0,5766.0,1.08,1.67,-0.15,179.461,10.849,10.8644
BD-14 3065 b,BD-14 3065 A,Transit,2024,4.2889731,0.0656,21.59,3932.0,0.066,80.45,2001.0,6935.0,2.35,1.41,-0.34,589.423,11.1,10.91
CoRoT-1 b,CoRoT-1,Transit,2008,1.5089557,0.0688,16.7,327.35,0.0,80.45,1898.0,5950.0,1.11,0.95,-0.3,787.909,13.623,13.457
CoRoT-10 b,CoRoT-10,Transit,2010,13.2406,0.1055,10.87,874.0,0.53,80.45,600.0,5075.0,0.79,0.89,0.26,338.386,15.293,14.6645
CoRoT-11 b,CoRoT-11,Transit,2010,2.99433,0.0436,16.03,740.51,0.0,80.45,1657.0,6440.0,1.37,1.27,-0.03,655.037,12.897,12.841
CoRoT-12 b,CoRoT-12,Transit,2010,2.828042,0.04016,16.14,291.438,0.07,80.45,1442.0,5675.0,1.116,1.078,0.16,1126.37,15.588,15.3453
CoRoT-13 b,CoRoT-13,Transit,2010,4.03519,0.051,9.92,415.704,0.0,80.45,1700.0,5945.0,1.01,1.09,0.01,1148.93,15.005,14.9147
CoRoT-14 b,CoRoT-14,Transit,2010,1.51214,0.027,12.22,2415.4,0.0,80.45,1952.0,6035.0,1.21,1.13,0.05,1744.6,15.932,15.8116
CoRoT-16 b,CoRoT-16,Transit,2011,5.35227,0.0618,13.11,170.032,0.33,80.45,939.0,5650.0,1.19,1.098,0.19,732.409,16.052,15.6507
CoRoT-17 b,CoRoT-17,Transit,2011,3.7681,0.0461,11.43,772.29,0.0,80.45,1626.0,5740.0,1.59,1.04,0.0,1176.12,16.29,15.4368
CoRoT-18 b,CoRoT-18,Transit,2011,1.9000693,0.0295,14.68,1102.82,0.08,80.45,1550.0,5440.0,1.0,0.95,-0.1,764.889,14.868,14.8009
CoRoT-19 b,CoRoT-19,Transit,2011,3.89713,0.0518,14.46,352.78,0.047,80.45,2000.0,6090.0,1.65,1.21,-0.02,790.663,14.135,13.7831
CoRoT-2 b,CoRoT-2,Transit,2008,1.7429935,0.02798,16.432,1102.82,0.0143,80.45,939.0,5625.0,0.906,0.96,0.0195,213.283,12.516,12.2489
CoRoT-21 b,CoRoT-21,Transit,2012,2.72474,0.0417,14.5717,718.2958,0.0,80.45,939.0,6200.0,1.95,1.29,0.0,501.574,16.058,15.8558
CoRoT-22 b,CoRoT-22,Transit,2014,9.75598,0.092,4.88,12.2,0.077,80.45,885.0,5939.0,1.136,1.099,0.17,627.158,13.82,13.7305
CoRoT-23 b,CoRoT-23,Transit,2011,3.6313,0.048,11.77,889.9,0.16,80.45,1660.0,5900.0,1.61,1.14,0.05,1060.97,15.675,15.0681
CoRoT-24 b,CoRoT-24,Transit,2014,5.1134,0.056,3.7,5.7,0.0,80.45,1070.0,4950.0,0.86,0.91,0.3,591.555,15.383,15.1801
CoRoT-24 c,CoRoT-24,Transit,2014,11.759,0.098,5.0,28.0,0.0,80.45,850.0,4950.0,0.86,0.91,0.3,591.555,15.383,15.1801
CoRoT-25 b,CoRoT-25,Transit,2013,4.86069,0.0578,12.11,85.81,0.0,80.45,1330.0,6040.0,1.19,1.09,-0.01,1103.48,14.79,14.711
CoRoT-26 b,CoRoT-26,Transit,2013,4.20474,0.0526,14.12,165.26,0.0,80.45,1600.0,5590.0,1.79,1.09,0.01,1045.18,15.861,15.4682
CoRoT-27 b,CoRoT-27,Transit,2014,3.57532,0.0476,11.287,3302.11,0.065,80.45,1500.0,5900.0,1.08,1.05,-0.1,1010.28,15.774,15.3902
CoRoT-28 b,CoRoT-28,Transit,2015,5.20851,0.0603,10.704595,153.82972,0.047,80.45,939.0,5150.0,1.78,1.01,0.15,766.183,13.783,13.4119
CoRoT-29 b,CoRoT-29,Transit,2015,2.85057,0.0386,10.0881,270.1555,0.082,80.45,939.0,5260.0,0.9,0.97,0.2,806.507,15.408,15.2394
CoRoT-3 b,CoRoT-3,Transit,2008,4.2568,0.0688,11.32,6883.91,0.0,80.45,939.0,6740.0,1.56,1.37,0.0195,768.771,13.448,13.2188
CoRoT-30 b,CoRoT-30,Transit,2020,9.06005,0.0844,11.309881,921.707,0.007,80.45,939.0,5650.0,0.91,0.98,0.02,1032.23,15.571,15.413
CoRoT-31 b,CoRoT-31,Transit,2020,4.62941,0.0586,16.36514,266.9772,0.02,80.45,939.0,5700.0,2.15,1.25,0.0,2005.76,15.479,15.4655
CoRoT-32 b,CoRoT-32,Transit,2018,6.71837,0.071,6.38913,47.6745,0.0331,132.26,938.0,5970.0,0.79,1.08,0.0,576.683,13.626,13.5867
CoRoT-35 b,CoRoT-35,Transit,2022,3.22748,0.0429,18.83108758,349.6112477,0.0,80.45,1747.0,6390.0,1.65,1.01,-0.5,1123.21,15.635,15.2625
CoRoT-36 b,CoRoT-36,Transit,2022,5.616531,0.066,15.80466279,216.12331676,0.0,80.45,1567.0,6730.0,1.52,1.32,-0.1,925.958,13.126,12.9515
CoRoT-4 b,CoRoT-4,Transit,2008,9.20205,0.09,13.34,228.83,0.0,80.45,1074.0,6190.0,1.17,1.16,0.0195,726.412,13.652,13.5613
